solver,split,benchType,nodes,dims,time,vis,gen,full,skip,time,vis,gen,full,skip,time,vis,gen,full,skip
kdtree,MaxStr/Obj,uniform_bigint,1000M,2,0.00063,39.39535,34.51855,0.00201,30.63975,0.01512,170.663,122.311,7.66508,67.2941,2.70967,2023.31,1416.615,350.648,460.27
kdtree,Rot/SpaMid,uniform_bigint,1000M,2,0.00133,36.99315,32.87735,0.00178,29.75985,0.01459,176.29,125.3455,7.30361,68.09725,2.72274,2014.43,1403.005,340.056,452.5295
orth,Rot/SpaMid,uniform_bigint,1000M,2,0.0006,40.94805,35.27085,0.0043,30.5893,0.01564,218.6035,157.8475,12.5114,85.58025,3.07499,2530.64,1790.165,466.1985,584.4965
cpam,Hilbert,uniform_bigint,1000M,2,0.00078,66.66025,0.0,0.0,27.37145,0.01891,190.0495,0.0,1.15906,50.93135,3.35451,1995.61,0.0,136.1615,263.2385
cpam,Morton,uniform_bigint,1000M,2,0.00183,94.4877,0.0,0.0,36.7952,0.02054,271.4045,0.0,0.96327,76.8325,3.42629,2740.035,0.0,151.182,385.5395
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,2,0.00047,31.326,28.90315,0.00384,27.4765,0.01455,145.9135,105.8206,7.61468,59.113,2.71842,1683.215,1187.98,298.202,395.5355
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,2,0.00185,48.11205,45.641,0.00655,44.16345,0.01449,169.429,128.029,8.06271,79.56605,2.71066,1799.815,1268.37,308.8105,429.114
orth,Rot/SpaMid,ss_varden_bigint,1000M,2,0.00061,49.29595,46.70655,0.0127,45.10455,0.0149,196.635,146.5045,11.24645,86.12795,2.96433,2118.815,1514.53,393.985,517.26
cpam,Hilbert,ss_varden_bigint,1000M,2,0.00144,181.3595,0.0,0.0,80.8927,0.01829,293.9275,0.0,1.21926,103.96585,3.42235,1799.075,0.0,120.565,281.21
cpam,Morton,ss_varden_bigint,1000M,2,0.00159,210.013,0.0,0.0,91.83615,0.02002,399.9475,0.0,1.0621,140.194,3.50148,2442.56,0.0,139.0815,398.299
