solver,benchType,nodes,dims,k=1,vis,gen,check,skip,k=10,vis,gen,check,skip,k=100,vis,gen,check,skip
kdtree,ss_varden,100M,2,0.00564,23.0,22.0,22.0,22.0,0.0104,29.0,26.0,26.0,24.0,0.04533,52.0,39.5,39.5,28.0
orth,ss_varden,100M,2,0.00495,26.5,25.5,25.5,24.5,0.01093,33.5,29.5,29.5,27.5,0.04941,66.5,49.5,49.5,32.5
kdtree,ss_varden,1000M,2,0.06456,26.5,25.0,25.0,25.0,0.13313,32.0,29.0,29.0,27.0,0.53544,56.0,43.0,43.0,31.5
orth,ss_varden,1000M,2,0.06034,27.5,26.5,26.5,26.0,0.1297,34.5,31.0,31.0,28.5,0.55806,65.0,49.0,49.0,34.0
kdtree,uniform,100M,2,0.0116,23.0,22.0,22.0,22.0,0.02333,29.0,26.0,26.0,24.0,0.08913,52.0,40.0,40.0,28.0
orth,uniform,100M,2,0.00903,23.0,22.0,22.0,22.0,0.02087,29.0,26.0,26.0,24.0,0.08442,54.0,41.0,41.0,29.0
kdtree,uniform,1000M,2,0.16636,26.0,25.0,25.0,25.0,0.31312,32.0,29.0,29.0,27.0,1.09445,56.0,43.0,43.0,32.0
orth,uniform,1000M,2,0.11581,27.0,26.0,26.0,26.0,0.25753,34.0,31.0,31.0,28.0,1.11075,68.0,51.0,51.0,34.0
kdtree,ss_varden,100M,3,0.00405,23.0,22.0,22.0,22.0,0.01423,39.0,33.0,33.0,28.0,0.07415,83.0,59.5,59.5,37.5
orth,ss_varden,100M,3,0.00606,32.0,31.0,31.0,31.0,0.01799,59.5,50.0,50.0,42.0,0.07888,148.5,103.0,103.0,59.5
kdtree,ss_varden,1000M,3,0.04726,26.0,25.0,25.0,25.0,0.15127,43.0,36.5,36.5,31.5,0.74164,88.0,64.5,64.5,42.0
orth,ss_varden,1000M,3,0.05488,32.0,31.0,31.0,31.0,0.1798,60.0,50.0,50.0,42.0,0.80591,150.0,104.5,104.5,60.0
kdtree,uniform,100M,3,0.0123,23.0,22.0,22.0,22.0,0.05161,43.0,36.0,36.0,30.0,0.20165,98.5,72.0,72.0,46.0
orth,uniform,100M,3,0.00903,25.0,24.0,24.0,24.0,0.05224,66.0,52.0,52.0,39.0,0.24347,210.0,140.0,140.0,71.0
kdtree,uniform,1000M,3,0.17824,26.0,25.0,25.0,25.0,0.66838,46.0,40.0,40.0,34.0,2.41655,103.0,76.0,76.0,50.0
orth,uniform,1000M,3,0.10891,28.0,27.0,27.0,27.0,0.59201,64.0,52.0,52.0,41.0,2.64254,189.0,129.0,129.0,70.0
